instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,detail_4b,mode,date_start,close_start,date_end,close_end,ret
300184.SZ,力源信息,61,2019-05-31,11.0,False,136,0.6427,2024-02-02,3.9300127644500793,True,True,,,,,False,2024-03-15,70,1.094,,2.1782,True,True,False,4.0,False,0.9342,0.9063,2,-19.73,1.0,['4A'],118.0,61.0,,,,,2024-05-24,4.719986418375373,2024-08-23,8.739980200503416,85.17
002700.SZ,万憬能源,67,,,False,58,0.7041,2022-05-06,,,,,,,,,2024-03-15,70,,,1.7351,True,,,,,1.0926,1.2707,0,10.17,,['4B'],,,14.0,67.0,,4B_fresh_breakout,2024-05-24,5.754882861703391,2024-08-23,9.366248574494472,62.75
301036.SZ,双乐股份,55,2022-01-14,30.13,False,104,0.5631,2024-02-09,13.162437224949125,True,True,,,,,False,2024-05-24,0,1.0113,,1.6409,True,True,False,4.0,False,1.1048,1.0113,3,0.0,0.0,['4A'],141.0,55.0,,,,,2024-05-24,20.061228123577727,2024-08-23,26.59854703767217,32.59
002938.SZ,鹏鼎控股,44,2019-12-06,48.83,True,109,0.6706,2024-02-02,16.08402124325762,True,True,,,,,False,2024-05-10,14,1.0317,,2.4052,True,True,False,2.0,True,1.2738,1.0843,2,4.12,0.0,['4A'],170.0,44.0,,,,,2024-05-24,26.984698341937786,2024-08-23,33.142963423775534,22.82
601766.SH,中国中车,67,2019-03-01,8.13,False,82,0.5117,2022-09-30,3.97,True,True,,,,,False,2023-05-12,378,1.0545,,1.582,True,True,False,0.0,True,1.0601,1.2451,1,8.85,1.0,['4A'],63.0,67.0,,,,,2024-05-24,6.381862652160437,2024-08-23,7.75023337374975,21.44
002475.SZ,立讯精密,72,2022-01-21,46.45,True,102,0.4553,2024-02-02,25.300526486618313,True,True,,,,,False,2024-03-22,63,1.0093,,2.4739,True,True,False,0.0,True,1.0856,0.9922,0,-1.04,0.0,['4A'],52.0,72.0,,,,,2024-05-24,31.104932415782542,2024-08-23,37.67807589740119,21.13
002916.SZ,深南电路,51,2022-01-28,87.58,True,101,0.5681,2024-02-02,37.82911882461227,True,True,,,,,False,2024-03-08,77,1.0755,,3.5542,True,True,False,2.0,True,1.1538,1.111,2,1.88,0.0,['4A'],148.0,51.0,,,,,2024-05-24,68.32977073338152,2024-08-23,81.8838729029461,19.84
002098.SZ,浔兴股份,62,2019-03-15,10.71,False,148,0.5995,2024-02-09,4.28988614148249,True,True,,,,,False,2024-05-10,14,1.0249,,1.0029,True,True,False,2.0,True,1.0711,1.0037,0,-2.19,0.0,['4A'],102.0,62.0,,,,,2024-05-24,6.042344959698103,2024-08-23,6.980731567696356,15.53
600575.SH,淮河能源,38,2022-02-25,3.71,False,98,0.4018,2024-02-02,2.2191766348813426,True,True,,,,,False,2024-04-05,49,1.0289,,1.1433,True,True,False,0.0,True,1.289,1.274,0,25.45,0.0,"['4A', '4B']",182.0,38.0,10.0,82.0,"{'instrument': '600575.SH', 'stock_name': '淮河能源', 'score': 82, 'mode': '4B_fresh_breakout', 'current_close_vs_ma20w': 1.289, 'current_close_vs_ma120w': 1.274, 'recent_3m_big_days': 0, 'post_trigger_ret_pct': 25.45, 'trigger_recency_days': 49, 'trigger_week': '2024-04-05', 'vr': 1.1433, 'launch_ma': True, 'drawdown_ratio': 0.4018, 'bear_weeks': 98, 'trough_date': '2024-02-02', 'pre_peak_surge': False}",,2024-05-24,3.343299664026505,2024-08-23,3.7600140615541764,12.46
600000.SH,浦发银行,67,,,False,52,0.4459,2022-11-04,,,,,,,,,2024-04-05,49,,,0.5927,True,,,,,1.1676,1.209,0,16.74,,['4B'],,,13.0,67.0,,4B_fresh_breakout,2024-05-24,7.901615893497743,2024-08-23,8.735090436884546,10.55
