instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,mode,date_start,close_start,date_end,close_end,ret
300164.SZ,通源石油,94,2019-04-04,8.06,False,174,0.5844,2024-09-06,3.349978797785814,True,True,2024-11-01,2025-03-14,20.0,158426688.0,True,2025-03-21,285,1.0396,,1.456,True,True,True,2.0,True,0.9695,1.1917,0,22.39,5.0,['4A'],53.0,94.0,,,,2025-12-31,5.519945961738381,2026-03-26,17.5,217.03
600722.SH,金牛化工,97,2019-03-22,7.77,False,147,0.5508,2024-02-09,3.49008202410664,True,True,,,,,False,2024-11-08,418,1.0028,,1.9461,True,True,False,0.0,True,0.9203,1.171,0,26.65,9.0,['4A'],8.0,97.0,,,,2025-12-31,5.93996210667712,2026-03-26,17.85,200.51
001896.SZ,豫能控股,95,2022-07-08,7.23,False,80,0.5629,2024-02-09,3.1598776998282,True,True,,,,,False,2024-12-06,390,1.0157,,1.8738,True,True,False,1.0,True,0.9279,1.1453,0,10.65,7.0,['4A'],21.0,95.0,,,,2025-12-31,5.200136401747846,2026-03-26,15.04,189.22
300385.SZ,雪浪环境,59,,,False,165,0.6614,2024-07-19,,,,,,,,,2025-09-05,117,,,1.5251,True,,,,,1.0918,1.2274,0,18.93,,['4B'],,,86.0,59.0,4B_fresh_breakout,2025-12-31,6.220084145395921,2026-03-26,17.9,187.78
300749.SZ,顶固集创,89,,,False,174,0.7718,2024-08-23,,,,,,,,,2025-10-24,68,,,1.8163,True,,,,,1.2016,1.5797,1,15.84,,['4B'],,,13.0,89.0,4B_fresh_breakout,2025-12-31,12.070264472467406,2026-03-26,33.56,178.04
688308.SH,欧科亿,89,,,False,86,0.7527,2024-09-20,,,,,,,,,2025-09-26,96,,,2.3243,True,,,,,1.2041,1.4376,2,33.79,,['4B'],,,15.0,89.0,4B_fresh_breakout,2025-12-31,31.640273754214572,2026-03-26,78.2,147.15
002498.SZ,汉缆股份,91,2022-11-04,4.91,False,93,0.4305,2024-09-06,2.796398230962986,True,True,,,,,False,2025-03-21,285,1.0517,,2.532,True,True,False,1.0,True,1.0301,1.0957,0,-0.1,0.0,['4A'],145.0,91.0,,,,2025-12-31,3.830054715038374,2026-03-26,8.68,126.63
301373.SZ,凌玮科技,91,2023-02-10,40.6033,False,82,0.5235,2024-09-20,19.34572603127958,True,True,2025-01-17,2025-06-27,24.0,3982989.5,True,2025-07-04,180,1.1747,,5.7332,True,True,True,1.0,True,0.9889,1.1719,0,0.79,0.0,['4A'],207.0,91.0,,,,2025-12-31,32.10027612900578,2026-03-26,67.99,111.81
600791.SH,京能置业,91,2022-04-15,6.82,False,92,0.5528,2024-02-09,3.050045729215356,True,True,2024-11-08,2025-04-03,22.0,36513815.0,True,2025-05-09,236,1.0109,,1.0152,True,True,False,0.0,True,0.9391,1.0898,0,9.6,0.0,['4A'],159.0,91.0,,,,2025-12-31,4.680043435695114,2026-03-26,9.15,95.51
603538.SH,美诺华,95,2022-04-01,47.96,True,125,0.7918,2024-09-20,9.985342799796362,True,True,2024-10-18,2025-03-21,23.0,18085139.0,True,2025-06-13,201,1.1818,,5.4154,True,True,True,1.0,True,0.8727,1.1818,0,2.87,6.0,['4A'],26.0,95.0,,,,2025-12-31,19.240232698538776,2026-03-26,35.62,85.13
688295.SH,中复神鹰,74,,,False,85,0.6457,2024-09-13,,,,,,,,,2025-08-29,124,,,2.3482,True,,,,,1.2265,1.3873,1,26.19,,['4B'],,,46.0,74.0,4B_fresh_breakout,2025-12-31,32.81008615180177,2026-03-26,60.3,83.78
002150.SZ,正泰电源,77,,,True,121,0.6243,2025-05-30,,,,,,,,,2025-09-05,117,,,2.2262,True,,,,,1.0671,1.4154,5,15.38,,['4B'],,,34.0,77.0,4B_fresh_breakout,2025-12-31,20.099949697619255,2026-03-26,36.89,83.53
601016.SH,节能风电,90,2022-01-07,4.92,True,134,0.4825,2024-09-13,2.545876781682843,True,True,2024-11-22,2025-04-03,20.0,265745030.0,True,2025-07-25,159,1.0104,,1.5439,True,True,True,0.0,True,0.9594,1.0037,0,-3.01,0.0,['4A'],236.0,90.0,,,,2025-12-31,2.949919066935264,2026-03-26,5.31,80.0
300617.SZ,安靠智电,91,2022-01-07,60.95,True,136,0.6421,2024-09-20,21.81652254591769,True,True,2025-01-03,2025-05-30,22.0,13143220.0,True,2025-07-11,173,1.0211,,1.5173,True,True,True,1.0,True,0.9292,1.0876,0,4.59,2.0,['4A'],211.0,91.0,,,,2025-12-31,31.900185234527598,2026-03-26,57.11,79.03
000968.SZ,蓝焰控股,91,2019-04-04,13.81,False,175,0.6048,2024-09-13,5.457207798931314,True,True,2024-10-04,2025-04-03,27.0,42448122.0,True,2025-06-13,201,1.0365,,2.1154,True,True,True,0.0,True,0.9404,0.9892,0,-6.51,1.0,['4A'],180.0,91.0,,,,2025-12-31,6.609862056379063,2026-03-26,10.93,65.36
